,0
0,8366.8818359375
1,8655.7373046875
2,8583.2509765625
3,8676.3291015625
4,8452.78125
5,8630.5146484375
6,8390.37109375
7,8421.8115234375
8,8504.9619140625
9,8267.423828125
10,8741.23828125
11,8511.625
12,8537.66796875
13,8346.4794921875
14,8591.0888671875
15,8515.8515625
16,8109.10498046875
17,8367.7822265625
18,8553.0634765625
19,8496.669921875
20,8424.9140625
21,8440.6396484375
22,8399.140625
23,8359.1328125
24,8359.1328125
25,8641.625
26,8520.8349609375
27,8542.322265625
28,8241.66015625
29,8524.048828125
30,8462.5439453125
31,8472.54296875
32,8472.54296875
33,8482.86328125
34,8520.91015625
35,8422.2333984375
36,8580.07421875
37,8580.8134765625
38,8396.2958984375
39,8396.2958984375
40,8583.8056640625
41,8513.046875
42,8355.5849609375
43,8355.5849609375
44,8612.6005859375
45,8283.3740234375
46,8521.638671875
47,8592.5458984375
48,8601.8896484375
49,8875.6689453125
50,8732.7734375
51,8975.87109375
52,8628.2060546875
53,8628.2060546875
54,8495.60546875
55,8495.60546875
56,8620.2724609375
57,8926.650390625
58,8692.4716796875
59,8707.96484375
60,8641.228515625
61,8541.7607421875
62,8378.162109375
63,8465.3447265625
64,8387.3798828125
65,8526.6904296875
66,8526.6904296875
67,8262.5615234375
68,8578.142578125
69,8552.3896484375
70,8552.7919921875
71,8494.3134765625
72,8222.287109375
73,8584.134765625
74,8584.134765625
75,8339.8544921875
76,8504.380859375
77,8504.380859375
78,8504.380859375
79,8887.533203125
80,8441.412109375
81,8371.1904296875
82,8447.072265625
83,8447.072265625
84,8447.072265625
85,8445.548828125
86,8387.685546875
87,8520.6904296875
88,8356.576171875
89,8418.4716796875
90,8490.9755859375
91,8530.6591796875
92,8493.90625
93,8102.44580078125
94,8102.44580078125
95,8102.44580078125
96,8102.44580078125
97,8448.7509765625
98,8601.20703125
99,8652.0810546875
100,8416.7822265625
101,8416.7822265625
102,8552.0341796875
103,8551.98828125
104,8448.4892578125
105,8705.5869140625
106,8546.392578125
107,8535.205078125
108,8660.7626953125
109,8567.3857421875
110,8432.8818359375
111,8306.0849609375
112,8472.8154296875
113,8472.8154296875
114,8468.970703125
115,8468.970703125
116,8480.7099609375
117,8608.181640625
118,8577.9365234375
119,8563.6181640625
120,8495.318359375
121,8627.287109375
122,8274.8642578125
123,8274.8642578125
124,8374.318359375
125,8463.58984375
126,8507.138671875
127,8507.138671875
128,8695.3115234375
129,8603.5380859375
130,8277.83984375
131,8667.556640625
132,8592.7607421875
133,8517.052734375
134,8394.0400390625
135,8545.791015625
136,8476.78125
137,8539.626953125
138,8452.0791015625
139,8298.958984375
